Symbol,NRI_1050V1,NRI_1097V1,NRI_2016V1,NRI_2020V5,NRI_2042V4,NRI_1050V1,NRI_1097V1,NRI_2016V1,NRI_2020V5,NRI_2042V4
APEX1,0.827389375,0.733978282,0.662804381,0.958608219,0.971433164,0.707104687,1.457755128,1.015934122,1.201016381,0.88800536
APOBEC3F,0.29142672,0.338122817,0.961427649,0.459364058,0.644629949,0.23809034,0.920630243,0.353712706,0.466762874,0.94310996
APOBEC3G,0.5623658,1.118513656,2.194861674,0.982843935,1.161766668,0.329635437,1.47590713,0.742287889,0.730390875,0.907099176
BAD,1.010074849,0.498898052,0.542114171,0.93164107,0.720738852,0.537750124,0.854438813,0.824514442,0.932084341,1.138426996
BANF1,0.275752277,1.093356791,1.330941963,1.048181787,1.270791603,0.350317249,1.896028703,0.355526899,0.980293167,1.239330594
BAX,0.558575536,1.567842203,1.184934537,1.164295116,1.25977663,0.801776718,1.706111367,0.758006345,1.367781922,1.133274148
BCL11B,0.669933981,1.981568392,2.094671951,1.113333477,1.504948748,0.621537633,1.644379115,0.628002281,0.458416292,0.425323136
BCL2,0.269431098,0.63248085,0.475030883,1.031456241,1.331036281,0.303826686,1.210816231,0.265048239,0.8348067,0.956582601
BTRC,0.577673518,0.785693275,0.967627278,0.994434492,1.194299335,0.228651974,1.653230993,1.215886266,0.986985482,1.824031907
CASP3,1.733906046,1.537967492,1.520991864,1.00518503,1.658452535,1.116078137,1.433328635,2.885878007,2.346812391,2.37218246
CASP8,1.57174184,1.71689234,0.939244904,2.112581328,1.923768148,0.399018534,1.537418191,4.018553828,3.954407876,1.883970928
CBX5,0.748925865,0.808584845,1.263690667,1.272345955,0.896110615,0.488586461,1.143923242,0.812201669,1.175954068,0.684119569
CCL2,44.60320721,326.7487975,23.5982852,12.38513199,17.19511397,9.839344216,14.40409292,17.15006133,72.45149517,82.10269977
CCL4,2.677301703,3.580529323,3.724817651,0.707151057,1.004223346,2.503101268,1.109178691,3.708974908,0.518413042,1.290854587
CCL5,0.994817674,1.196506852,2.4399007,0.778866151,1.240366222,0.865191767,0.794876254,1.619848704,0.66478509,1.386448734
CCL8,12.90815955,10.8357828,5.265701804,2.477291793,2.481826797,1.527890242,16.88180735,3.865413795,20.59863854,11.62090432
CCNT1,0.922765145,2.253784934,1.276079706,1.070436627,1.867931926,1.208374613,1.476879176,2.3619155,1.392258979,2.030834827
CCR2,0.371608319,0.643030732,1.065246144,2.319607719,0.82559388,0.366488285,3.395058496,0.093543902,2.316018789,0.330727095
CCR3,0.070173565,0.218227128,0.116223682,0.310303661,0.346780951,0.475641717,0.362510283,0.045240493,0.152281729,0.64499038
CCR4,1.545713495,0.275275474,0.239109989,0.770416119,0.98599376,0.519550512,0.337093997,0.839741636,0.711532453,0.89141204
CCR5,3.679407381,1.585146231,4.347568214,1.207400175,1.646670356,0.548970543,1.041113341,0.590850741,2.791245248,3.36637841
CD209,0.691310991,1.973762719,0.960567006,2.954387919,1.961614605,1.403568081,4.518314228,1.397571687,3.012465242,4.013705086
CD247,0.879529811,2.520536107,1.537777999,1.191480765,1.802699586,0.949208789,2.327293285,2.677673385,1.463023731,1.454001428
CD4,0.437926877,0.644281303,0.468974333,1.329226401,0.832984096,0.406462218,1.090744433,0.618385815,1.228400241,0.64075488
CD44,0.88682861,1.252216308,0.819716675,1.045458683,1.104166696,0.916552143,1.697149113,1.050782501,1.160922821,1.157092093
CD69,2.12221333,2.651955803,1.258093585,1.047877516,0.663918889,2.650789237,0.994994192,2.228984943,0.487245252,1.68344914
CD74,0.637174298,1.589850874,1.341845242,1.869603072,1.211237311,0.649614146,1.908185345,1.156026341,2.447259337,1.153561906
CDK7,1.544762721,2.160828235,1.337204649,0.937774333,1.470483648,1.463509302,1.622540736,2.011381362,1.461485671,1.895873796
CDK9,0.851820733,1.650210942,1.157301995,2.046933132,1.576904467,0.595746998,1.852198426,1.835974985,2.185800218,2.544635391
CDKN1A,10.53276818,5.879037836,1.449395612,2.849192114,1.8534134,4.527818559,2.504651817,5.652195097,3.443395061,12.50789338
CEBPB,1.81452074,5.463627631,1.55256758,3.591542663,2.323200981,2.028281471,1.794004416,4.953813327,5.628352582,3.872616908
COPS6,0.664250234,1.173317463,1.073951221,0.995446812,1.259501184,0.610502809,1.47790149,1.390091624,1.190435589,1.257136226
CR2,0.084931626,0.210297702,0.341982643,0.694111367,0.587408135,0.074863704,0.963175952,0.250792369,0.600542489,0.363554089
CREBBP,0.597965437,0.469518156,0.915605045,0.517392147,0.741437342,0.281124691,1.35818147,0.715900107,0.712637313,0.914361258
CX3CL1,2.036633911,1.248964457,1.040254254,1.121258634,0.98217186,1.961268677,1.859933457,1.675855509,1.395947402,3.524630446
CXCL12,2.048643621,1.613459789,2.135749029,1.12787052,0.987963573,1.97283397,5.16039786,1.685737765,1.404179084,3.545414637
CXCR4,1.241467381,1.139430125,0.970692403,1.118871277,1.152028377,0.6391259,0.835063675,2.072683543,0.772428335,1.111709381
ELA2,0.850052233,1.85676311,0.496123424,1.657699769,2.536532536,2.301605923,1.880069481,1.129112717,2.433641154,5.16609773
EP300,0.912194663,2.515417515,1.455452717,1.403156936,1.978284865,0.677862748,2.582406928,2.018904961,2.149072142,1.617931859
FCAR,1.563893107,3.952337078,1.923498571,0.860993544,0.75419141,1.506021552,2.479431396,1.286858116,1.071921914,2.706497829
FOS,4.972531147,18.83982792,2.409244702,12.70984765,3.92127635,4.048939533,15.85921745,8.139154858,9.879321773,7.407005358
GADD45A,1.194789858,0.874385788,0.656072028,1.311939371,1.040550809,0.66217744,0.882733806,1.494436496,0.656502213,1.202376017
HCK,0.723173153,0.727629577,0.961034458,2.114685495,1.444410568,0.378397963,1.809420122,0.367382741,2.462909891,2.761424044
HMGA1,0.539131841,0.967853225,1.700598574,1.575480786,2.117715481,0.043425847,3.603246265,1.131500984,3.609198248,1.620924552
HTATSF1,0.551173919,0.920504642,1.184255153,0.950633693,1.254241322,0.521214881,1.26633111,0.905530953,0.815432886,1.23883325
IFNA1,2.09266959,1.283328302,1.068875673,1.152108798,1.009195208,2.015230767,2.640174973,1.721964778,1.434355316,3.621606667
INFB1,0.989464184,2.092874333,2.775390718,0.857114344,2.520754718,2.016603873,4.216681614,1.109245269,2.284162947,2.088597157
IFNG,4.136984958,14.74109874,3.477918636,1.352962332,0.753472448,12.19752247,1.926361581,7.20507307,1.38959918,1.413355932
IL10,28.03567341,38.63488501,11.29661238,8.72967096,7.61036808,6.653004652,6.319966855,27.59956675,5.730259156,27.21724052
IL12B,1.939646933,1.189487255,2.481854359,5.505874615,0.935399644,1.867870683,1.854011872,1.596049236,2.758864556,3.356783267
IL16,0.292634936,0.805822766,1.360346191,1.151510651,1.519916031,0.320646091,1.31141809,0.752424634,1.348880571,1.020540218
IL1B,41.50561244,20.69810922,3.761239743,4.115006253,2.171158947,29.36477408,7.188029039,20.80433041,2.053733165,36.82127431
IL2,3.034606387,1.104997337,0.324141641,0.334845051,0.412769981,2.77401875,0.556182985,2.820271185,0.292437691,0.19695296
IL8,28.97194171,63.15282541,2.4749721,11.07528389,0.791540409,66.82530168,12.87505058,30.5171883,5.773347994,2.295155528
IRF1,0.753766767,1.821031091,2.008937985,1.488648105,2.813122829,0.818823521,1.433321056,2.315243634,5.355982607,2.960347321
IRF2,0.260792319,0.642923624,1.548258168,0.784950301,1.081378995,0.227127648,1.909966235,0.213639019,0.866732756,0.824379284
KLRD1,0.889107968,1.679245705,2.276380241,0.992716068,1.698495002,0.62781965,1.60523931,2.292183777,1.04130716,0.960654382
LTBR,1.710328235,1.665650616,0.829656786,1.317659284,1.638162415,1.302162296,2.701520142,1.640955606,3.047143146,2.811927003
MAP3K5,0.869010553,2.026750891,1.593097415,1.3424418,2.116771608,0.671328639,3.010207897,1.021698243,1.749921483,2.154684068
MBL2,2.09266959,1.283328302,1.068875673,1.152108798,1.009195208,2.015230767,1.944833854,1.721964778,1.434355316,3.621606667
NFATC1,0.807773875,1.339733695,1.161639192,1.535099548,1.832843537,0.682879238,1.666654201,1.145518976,1.783221519,1.785384703
NFKBIA,2.138223385,3.903677189,0.424614095,1.072935662,0.655468439,3.943985468,1.48199156,2.194388157,0.754918844,1.526942759
PPIA,0.632282371,0.756411216,0.796399393,2.126805084,1.220150039,0.260284529,0.750786259,1.145073509,1.331370319,0.70350538
PRDX1,0.538414415,0.840288476,1.428528406,1.028127745,1.164349916,0.490934548,1.531151141,0.306024482,0.886090741,1.53357695
PTK2B,1.268878426,1.127739011,1.054323999,1.377449507,1.041092419,0.44250366,1.50257299,1.888328792,1.749715592,1.751951621
RBL2,0.33860326,0.445781687,0.745770831,1.028049999,0.836960095,0.25151669,0.726806012,0.599207896,0.520262886,0.489332841
SELL,0.249516774,0.844042201,0.921778722,1.016436312,0.87600708,0.358891325,0.854573475,0.300540438,0.999656267,0.696896919
SERPINA1,0.993351494,2.187446861,1.054479012,1.348144262,1.328006668,1.202254257,1.731675191,1.557957621,1.922977325,2.138689307
