Symbol,RI_1046V7,RI_1087V7,RI_1117V6,RI_2028V9,RI_2033V6,RI_1046V7,RI_1087V7,RI_1117V6,RI_2028V9,RI_2033V6
APEX1,1.20253658,0.858015459,1.012900479,0.973533989,0.982853291,1.585378869,0.804562157,1.630231995,1.481540206,1.126733364
APOBEC3F,1.148278309,0.512418544,0.376809747,2.003394683,2.251331023,0.461108406,0.872185453,0.575781816,0.275462309,0.946918059
APOBEC3G,1.522303512,0.503933195,0.624922435,1.033788005,2.017753822,1.127804018,1.093267174,0.8188298,0.545043385,1.064686337
BAD,0.927882633,0.812471235,1.628498343,0.903466262,0.901570514,0.788527915,0.783233233,0.873353857,0.818164517,0.968060026
BANF1,1.351134785,0.634919006,0.989658855,1.02597693,1.14804758,0.53933345,0.84079432,1.070606181,0.697899699,1.052249699
BAX,1.164787483,0.643809926,1.300052693,0.828010269,1.238793615,1.220956869,1.144181278,1.184925451,0.950903945,1.098169005
BCL11B,2.137471,1.15608014,1.517752601,0.335917987,0.793738751,2.876917499,0.44166343,1.390819217,3.077891646,1.069178974
BCL2,1.370203579,0.696794104,1.110892788,0.825250785,1.142489828,1.103659098,0.947327266,1.044625565,0.615061625,1.809967058
BTRC,1.416305725,0.91299048,0.34362508,1.577750699,1.426439988,1.159161872,0.801788802,1.04649306,1.272055652,1.231448759
CASP3,1.087557278,1.260226067,0.498258011,1.579546848,0.927070158,2.148911902,1.471996926,1.997460483,2.410841652,0.942140401
CASP8,0.8599781,2.264813362,0.482087786,1.167742664,0.912025358,1.237060097,1.163283631,1.228809566,2.500428134,1.94082125
CBX5,1.220723802,0.984376072,0.827115515,0.939743475,1.07064638,1.335400859,0.835113357,1.106593193,1.352871468,1.355681762
CCL2,0.253999179,0.362896489,3.960991242,1.248991868,2.192913132,2.345424052,8.541864485,14.82776199,2.507558203,4.796144337
CCL4,1.459589104,2.360632449,0.329505594,0.740852373,1.188903338,1.256158005,0.844122326,17.97543227,0.462751813,0.47570561
CCL5,1.173031765,0.815324656,0.858429146,0.882434394,1.380297718,1.158092682,0.723715075,0.92242435,0.55630256,0.709558789
CCL8,0.67289236,0.535413788,0.441933163,1.160470443,5.412204221,1.216356387,0.883763033,2.195278407,3.204459643,1.955672294
CCNT1,1.183501053,2.412617638,0.911726619,0.617990247,0.621579377,3.266193458,1.108921805,2.022791763,3.140942119,0.925147631
CCR2,1.950953693,0.302405178,0.85840032,0.824542348,2.394754394,0.18196161,0.916836706,0.498210716,0.192471359,2.266816802
CCR3,1.315657458,0.215259769,0.270703331,5.390485691,2.419762823,0.148629462,0.641313718,0.244697799,0.08667768,0.587460946
CCR4,0.909554002,3.763086038,1.385224473,0.653332002,0.322829546,1.24864119,0.895692032,1.766322557,1.970699506,0.866025347
